employee_id,first_name,last_name,department,salary,joining_date,age
40,Katie,Gordon,HR,77255.03,12/28/2021,37
41,Kathleen,Bailey,Finance,92873.35,11/22/2024,24
42,James,Vaughn,HR,47270.87,11/18/2023,51
43,Jaime,Evans,HR,31594.03,4/21/2020,55
44,Vanessa,Rosario,Marketing,65408.88,4/15/2021,42
45,Dwayne,Kline,HR,55993.32,4/17/2023,31
46,Jeremiah,Silva,HR,34163.36,12/23/2021,46
47,Michelle,Perez,Finance,44352.52,11/29/2023,29
48,Ricardo,Wilson,IT,31024.79,12/27/2022,60
49,Barbara,Gay,IT,87649.9,4/16/2021,53
50,Eugene,Taylor,Finance,35104.03,1/9/2023,38
51,Joshua,Freeman,Finance,35893.46,3/25/2023,59
52,Melissa,Garcia,HR,49094.01,6/20/2021,51
53,David,Flynn,Operations,35475.54,3/9/2023,55
54,Steven,Robinson,HR,41451.52,12/8/2022,25
55,Thomas,Davis,Operations,61914.65,12/8/2022,33
56,Larry,Vargas,Finance,43182.66,9/23/2022,51
57,William,Hodge,Operations,60669.47,5/27/2024,41
58,David,King,Finance,32339.87,10/28/2021,39
59,Fred,Nicholson,HR,59827.76,1/29/2020,52
60,Rickey,Moore,Operations,77195.29,12/30/2022,30
61,Michael,Carlson,HR,37731.53,7/13/2020,36
62,Christy,Martin,IT,38943.3,5/21/2020,28
63,Alexis,Rodriguez,IT,75687.13,10/18/2020,36
64,Susan,Parker,Operations,77946.72,6/19/2020,42
65,Donna,Gibbs,HR,98453.91,9/26/2024,23
66,Stephen,Cox,Finance,57193.92,5/11/2023,34
67,Andrew,Evans,Operations,97693.15,7/27/2021,35
68,Kathleen,Mcintyre,Marketing,41015.44,8/24/2022,46
69,Sheri,Clark,Finance,63724.89,8/7/2023,42
70,Cassandra,Lee,Finance,74820.04,5/5/2024,57
71,Tiffany,Allen,Marketing,69740.45,5/30/2020,29
72,Roberto,Frost,HR,97048.59,10/17/2024,53
73,Robert,Grant,Marketing,91798.22,3/18/2024,32
74,Joshua,Powell,Finance,42744.06,3/16/2022,56
75,Ricardo,Johnson,Finance,58864,7/20/2023,31
76,Kyle,Durham,Marketing,51792.55,5/16/2023,31
77,Shawn,Banks,Operations,79243.09,8/28/2022,26
78,Brian,Campbell,Finance,73643.21,7/30/2023,59
79,Michael,Diaz,Marketing,63084.86,7/25/2020,35
80,Aaron,Foster,HR,90474.37,2/9/2024,56
81,Frank,Harper,Operations,89616.97,11/24/2024,60
82,William,Williams,Marketing,72750.58,3/28/2022,59
83,Regina,Cruz,HR,67870.5,7/8/2020,54
84,Brandy,Perry,Marketing,77254.08,10/27/2021,54
85,Betty,Griffin,Finance,99398.29,11/23/2024,55
86,Amy,Williams,IT,37718.75,4/17/2022,58
87,Jacob,Monroe,HR,50172.7,7/4/2021,27
88,Jill,Hall,Finance,78092.13,9/11/2022,53
89,Alexandra,Richmond,Operations,63588.59,1/3/2023,22
90,Tyler,Powers,Operations,64827.2,5/18/2024,22
91,Jonathan,Thompson,HR,62490.56,6/28/2020,53
92,Ashley,Martin,HR,50046.33,12/21/2023,32
93,Carmen,Mccoy,HR,57355.47,11/20/2023,58
94,Joy,Livingston,Marketing,42493.99,4/6/2024,38
95,Catherine,Williamson,Finance,95067.49,1/26/2023,29
96,Patricia,Patrick,Marketing,79539.11,4/22/2021,59
97,Benjamin,Cruz,Operations,98354.94,9/2/2024,59
98,Terry,Gallegos,HR,52962.04,10/13/2021,36
99,Dawn,Byrd,HR,41234.1,4/30/2020,53
100,Carrie,Acevedo,HR,41857.01,1/17/2022,37
101,Ricardo,White,HR,88300.52,10/21/2022,22
102,Emily,Nelson,Finance,68770.78,1/19/2022,45
103,Tanya,Thomas,Finance,67611.84,9/13/2021,29
104,Andrew,Mcgee,HR,85405.07,8/23/2020,59
105,Michael,Fritz,Marketing,64378.1,8/6/2021,35
106,Danielle,Bush,Operations,38389.78,7/25/2021,40
107,David,Craig,Marketing,38181.22,10/22/2021,25
108,Maurice,Crosby,Finance,96784.58,6/4/2023,54
109,Heather,Wood,HR,75964.82,6/28/2020,55
110,Jessica,Lawrence,Operations,83933.68,9/1/2022,27
111,Austin,Nichols,Finance,48184.56,8/26/2022,22
112,Betty,Cardenas,Finance,39584.67,7/20/2024,56
113,Raymond,Roberts,Marketing,66642.13,8/20/2022,60
114,Nancy,Kelley,Marketing,54063.49,12/7/2021,26
115,Stephanie,Brooks,HR,75502.1,10/4/2023,30
116,Olivia,Hughes,Operations,92492.73,8/7/2023,42
117,Alyssa,Rivera,IT,44335.7,11/23/2023,46
118,Stacey,Gonzalez,HR,96035.66,7/1/2024,41
119,Natalie,Mccormick,Operations,84462.16,4/27/2021,51
120,Mary,Smith,IT,44144.75,3/6/2020,22
121,Walter,Villanueva,Marketing,65796.03,9/19/2022,41
122,Elizabeth,Perkins,Operations,88243.31,10/30/2021,26
123,Debbie,Phillips,IT,56673.08,2/18/2023,58
124,Darryl,Evans,Finance,38116.58,7/26/2021,23
125,Marisa,Hines,HR,82784.71,6/18/2020,44
126,Ricky,Jimenez,IT,92445.46,11/27/2024,49
127,Michelle,Underwood,Operations,95090.64,6/24/2024,48
128,Kelly,Riley,IT,95520.11,7/1/2020,32
129,Melanie,Doyle,IT,47098.33,5/9/2021,41
130,Jennifer,Fox,HR,61777.14,8/2/2020,37
131,Natasha,Miranda,Operations,75664.19,5/24/2024,44
132,Jessica,Thomas,IT,69013.19,10/15/2020,32
133,Robert,Johnson,IT,95982.02,7/30/2023,25
134,Samantha,Moore,IT,76487.68,12/17/2022,24
135,Ronald,Terry,Marketing,86004.5,2/6/2021,39
136,Samuel,Benson,Finance,93215.95,9/2/2023,44
137,Paul,Werner,HR,79814.91,5/29/2023,38
138,Thomas,Booker,HR,96685.45,7/18/2024,43
139,Jennifer,Norris,Marketing,78256.39,7/27/2022,54
140,Shawn,Wright,Operations,39532.15,2/28/2024,28
141,Henry,Hampton,Marketing,98629.17,7/31/2022,34
142,Amanda,Bruce,IT,96446.84,10/9/2022,59
143,George,Leach,HR,69553.01,1/28/2021,37
144,Anthony,Nelson,IT,59409.65,7/7/2020,48
145,Mary,Gentry,Finance,59668.66,10/31/2024,41
146,Mia,Harris,Finance,70054.78,4/18/2020,42
147,Laura,Marquez,HR,78043.71,11/7/2023,56
148,Michael,Green,HR,40791.26,2/18/2021,59
149,William,Phillips,Marketing,58037.21,5/13/2023,26
150,Alejandro,Carlson,Finance,31515.61,6/1/2023,22
151,Collin,Meyers,Marketing,92177.09,6/14/2022,23
152,Sarah,Garner,HR,32007.84,12/25/2019,60
153,James,Peterson,HR,48794.48,3/16/2021,49
154,Miranda,Brown,Finance,75145.77,12/8/2021,57
155,Carl,Reed,Marketing,51031.46,10/13/2024,28
156,Kristina,Lozano,IT,66107.93,1/20/2020,55
157,Kimberly,Krause,Marketing,35367.11,3/26/2023,54
158,Michelle,Hicks,Finance,90610.91,6/3/2021,56
159,Sharon,Washington,HR,73190.6,4/4/2023,23
160,Melissa,Cline,Finance,96859.2,11/25/2021,24
161,Raymond,George,IT,53840.04,9/19/2020,60
162,Jermaine,Brown,Finance,77806.3,1/4/2022,24
163,Autumn,Martinez,IT,49900.39,12/11/2022,51
164,Christopher,White,IT,57815.21,8/15/2022,47
165,Terry,Stewart,Operations,87390.22,5/19/2020,30
166,Jeffrey,Parker,IT,86165.43,2/15/2024,38
167,Michael,Morris,Operations,67114.27,3/16/2021,51
168,Angela,Morris,IT,40796.29,11/23/2020,30
169,Samantha,Brown,HR,52076.52,3/30/2021,52
170,Jennifer,Jackson,IT,84774.45,7/17/2023,23
171,Valerie,Booth,HR,58303.11,7/2/2023,58
172,Alicia,Wolf,HR,53398.54,3/27/2023,60
173,Robert,Smith,Finance,55711.11,5/21/2021,24
174,Stephen,Knight,IT,66166.49,9/7/2023,33
175,Willie,Ramos,Marketing,48446.38,6/8/2024,40
176,Maria,Maddox,HR,31936.1,7/26/2022,57
177,Katie,Williams,IT,85924.95,7/24/2022,48
178,Michele,Davis,Operations,64518.81,12/25/2020,44
179,Noah,Jenkins,Finance,63930.92,8/6/2021,32
180,Jamie,Wood,HR,61960.44,10/25/2022,35
181,Kelly,Mejia,IT,67123.69,8/12/2023,56
182,Samantha,Adams,Finance,52614.66,6/9/2024,60
183,Tina,Silva,HR,72459.85,7/10/2021,45
184,Stacey,Schneider,Marketing,59386.27,7/27/2023,49
185,Nancy,Alexander,Operations,31897.11,10/28/2021,31
186,Madison,Davis,HR,63644.58,11/5/2024,57
187,Kristina,Martinez,Marketing,99644.45,5/17/2024,58
188,Eric,Clarke,IT,47090.34,4/22/2020,43
189,Kerry,Roberts,IT,47842.91,11/26/2022,32
190,Jennifer,Hicks,Finance,43961.97,7/23/2023,52
191,David,Johnson,Finance,74405.6,4/6/2023,31
192,Michael,Smith,IT,96986.85,10/30/2023,58
193,Justin,Bartlett,Finance,81295.65,11/1/2023,57
194,Ashley,Castillo,HR,92022.93,11/12/2024,34
195,Frank,Martin,Finance,51198.98,12/16/2023,35
196,Garrett,Hughes,HR,31785.83,6/15/2024,46
197,Jonathan,James,Finance,60562.67,1/4/2024,35
198,Alexandra,Lester,Operations,97142.6,6/16/2021,50
199,Kelly,Mendoza,Finance,99277.04,1/15/2020,42
200,Brandon,Cuevas,Marketing,78097.93,2/4/2020,45
201,Ray,Hall,Operations,46623.79,6/27/2022,53
202,Todd,Jones,Operations,81495.45,5/16/2020,34
203,Bradley,Bean,HR,47389.5,4/22/2024,46
204,David,Stevenson,Marketing,59048.78,10/30/2020,31
205,Tiffany,Rose,HR,42230.53,5/9/2022,54
206,Elizabeth,Maynard,Operations,92737.85,11/11/2023,50
207,Rodney,Curry,HR,91764.93,2/26/2021,26
208,Adrian,Lewis,HR,91344.97,7/27/2022,57
209,Daniel,Waters,Marketing,36835.93,1/10/2022,40
210,Lisa,Williams,HR,60210.51,1/17/2023,26
211,Brian,Mitchell,HR,36112.31,6/8/2021,35
212,Teresa,Howard,HR,69423.75,7/25/2022,44
213,Eric,Smith,Operations,32640.88,7/8/2022,39
214,James,Kennedy,Operations,85152.36,6/1/2023,54
215,Holly,Gonzalez,Marketing,58883.47,6/13/2021,58
216,Matthew,Smith,Marketing,48011.01,4/18/2023,28
217,Jill,Mccarthy,Operations,70908.83,11/7/2023,22
218,Kevin,Rodriguez,IT,38281.78,11/17/2023,27
219,Rebecca,Livingston,Operations,35347.06,6/2/2022,58
220,Katie,Goodwin,IT,47370.88,2/4/2021,26
221,Mary,Dean,Operations,45157.82,6/5/2023,54
222,Julie,Lane,HR,80795.63,11/8/2023,49
223,Todd,Brown,Finance,63927.3,5/27/2024,46
224,Brett,Mcdonald,Finance,54864.48,3/24/2022,36
225,Lonnie,Martin,Finance,43151.65,6/17/2022,59
226,Riley,Lambert,HR,61863.82,10/10/2024,22
227,Marissa,Evans,HR,36170.45,10/28/2020,54
228,Michelle,Taylor,Marketing,90016.84,4/24/2022,41
229,Austin,Barry,Marketing,83931.26,4/18/2022,25
230,James,Padilla,IT,94536.32,3/8/2020,27
231,Robert,Torres,IT,83708.62,12/22/2022,46
232,Ryan,Ellis,Operations,60257.36,10/19/2024,29
233,Lisa,Morgan,Operations,90939.23,5/22/2023,39
234,Jessica,Thompson,HR,46977.72,6/11/2024,24
235,Kristin,Meadows,IT,81983.07,7/27/2021,35
236,Mariah,Dickerson,Finance,76333.55,9/24/2020,36
237,Stacey,Dalton,Marketing,89916.17,8/24/2020,48
238,Tyler,Brown,Marketing,33331.79,5/8/2020,60
239,Taylor,Byrd,Operations,66327.77,5/5/2024,58
240,Patricia,Richardson,Operations,65795.11,12/10/2019,38
241,John,Clark,Marketing,38840.16,1/14/2022,42
242,Maxwell,Goodman,Operations,94485.99,11/22/2024,46
243,Kristopher,Wheeler,HR,77972.85,5/21/2023,56
244,Justin,Lynch,Finance,89298.17,5/2/2023,58
245,Caitlin,Lane,HR,39725.54,5/19/2021,34
246,Michael,Thomas,Marketing,49598.94,12/16/2021,55
247,John,Stevens,HR,44606.03,10/2/2021,29
248,Patrick,Suarez,Operations,59901.89,11/29/2021,55
249,Lisa,Hodges,IT,52268.68,4/21/2021,60
250,Melissa,Webster,HR,34912.03,6/1/2022,40
251,Brian,Wright,Finance,54407.75,1/5/2020,50
252,Melissa,Becker,Operations,55648.63,1/5/2023,29
253,Casey,Cooke,IT,84506.32,8/24/2022,32
254,Colleen,Ward,HR,46930.43,11/2/2021,37
255,Ashley,Williams,HR,82543.43,2/1/2020,38
256,Eric,Miller,IT,84968.51,11/9/2020,23
257,Jonathon,Kelly,HR,65750.3,8/5/2021,32
258,Elizabeth,Gates,Finance,38915.66,7/22/2020,57
259,Jodi,Oneill,HR,55058.86,12/31/2021,33
260,Michael,Taylor,HR,34314.43,9/19/2020,46
261,Alan,Diaz,IT,49346.43,3/18/2023,56
262,Katherine,Moreno,Marketing,55157.9,1/31/2024,23
263,Joseph,Smith,Marketing,67370.96,5/6/2021,47
264,George,Robertson,Marketing,39353.21,10/4/2023,50
265,Adam,Warren,Operations,92649.15,1/7/2023,58
266,Dave,Hammond,Operations,66760.48,3/28/2022,54
267,Jaclyn,Gonzalez,IT,60457.65,7/7/2021,24
268,Tracy,Wood,IT,86638.36,4/12/2020,45
269,Sharon,Sanchez,Operations,94587.07,4/4/2024,50
270,Robert,Clark,Marketing,36501.15,7/19/2024,24
271,Donna,Williamson,Operations,41766.32,1/30/2023,25
272,Tyler,Pratt,Marketing,82003.27,8/27/2020,47
273,Christina,Rodriguez,Finance,57127.82,4/16/2022,60
274,Debbie,Briggs,Marketing,98254.18,1/10/2024,44
275,Danielle,Washington,HR,50853.15,12/13/2022,47
276,Michelle,Miller,Finance,82903.44,6/6/2021,39
277,Jean,Calhoun,Finance,69422.3,3/21/2023,54
278,Kelly,Jensen,Operations,58404.76,7/16/2024,46
279,April,Larsen,Finance,58951.26,2/9/2021,23
280,Jeremy,Ibarra,Marketing,56982.69,10/14/2020,23
281,Tammie,Klein,Finance,62512.86,8/29/2021,53
282,Martin,Heath,IT,49368.61,10/10/2024,38
283,Kim,Hammond,HR,90917.35,7/9/2024,38
284,Michele,Ellis,Finance,41902.63,4/30/2021,60
285,Ashley,Barry,Marketing,47920.41,10/8/2023,25
286,Cynthia,Anderson,HR,79942.93,11/15/2021,50
287,Mark,Brown,Operations,30811.46,10/25/2024,29
288,Erica,Caldwell,HR,75627.38,6/29/2020,25
289,Julie,Fox,HR,98667.7,8/16/2021,46
290,Thomas,Lewis,HR,85008.82,8/26/2021,47
291,John,Fitzpatrick,HR,86338.68,8/9/2022,53
292,Cynthia,Thomas,HR,41969.41,8/26/2023,26
293,April,Lawrence,Marketing,92850.09,1/7/2023,31
294,Matthew,Guerrero,IT,67867.41,7/6/2024,29
295,Karen,Donaldson,HR,46485.81,11/25/2022,43
296,Mary,Kennedy,Marketing,87357.82,9/19/2020,23
297,Tonya,Olson,Finance,71725.78,8/30/2020,34
298,Kelly,Murphy,Operations,61072.6,10/25/2021,37
299,Robert,Weaver,IT,94593.15,8/16/2023,33
300,Matthew,Johnson,Operations,62453.44,6/8/2024,55
301,Nathan,Smith,Operations,70250.42,3/22/2020,26
302,Michael,Hernandez,IT,37367.21,11/20/2022,30
303,Cameron,Harrington,HR,55541.89,4/16/2022,59
304,Wendy,May,IT,86333.77,6/14/2021,56
305,Joseph,Watson,Operations,99160.74,6/27/2022,45
306,Scott,Deleon,Operations,43522.3,6/3/2023,43
307,Amanda,Parker,HR,30501.85,12/9/2023,26
308,Donna,Good,Marketing,51977.48,9/25/2020,24
309,Blake,Farmer,IT,66745.29,4/1/2023,35
310,Mary,Hurst,Operations,59485.71,1/5/2024,35
311,Paul,Jackson,Finance,92567.85,6/15/2024,29
312,Judy,Paul,IT,76786.67,8/13/2023,25
313,Paul,Johnston,Finance,92469.09,8/8/2024,37
314,Ashley,Bryant,Operations,42153.86,5/3/2022,46
315,Heather,Lane,Marketing,82759.74,6/1/2023,45
316,Kimberly,Rodriguez,Finance,45284.74,8/25/2023,55
317,Cody,Carter,Finance,69323.64,7/15/2022,47
318,Gabriella,Ramos,HR,88850.2,9/15/2020,23
319,Frank,Waters,Finance,68040.43,8/26/2022,29
320,Christopher,West,Marketing,58670.96,1/27/2022,31
321,Carly,Smith,HR,43724.71,4/5/2020,35
322,Kristina,Stokes,Finance,41053.55,7/1/2022,49
323,Ricky,Gross,Marketing,51508.56,10/6/2024,22
324,Vanessa,Jackson,HR,69330.56,5/9/2022,59
325,Robert,Cain,Operations,41329.44,3/22/2020,31
326,Kelly,Peck,Operations,93076.69,11/16/2024,39
327,Andrew,Joseph,Marketing,45714.45,3/23/2021,44
328,Eric,Wallace,HR,69255.21,2/1/2024,53
329,Donna,Allen,Finance,92277.56,3/8/2021,49
330,Melissa,Robertson,HR,67912.18,9/24/2024,49
331,Michelle,Lamb,HR,33319.16,10/8/2021,22
332,Donna,Hernandez,IT,80185.43,2/24/2020,45
333,Luis,Simpson,Marketing,90491.25,12/17/2021,36
334,Joseph,Lopez,HR,88812.05,2/14/2024,47
335,Mark,Hernandez,Operations,64112.84,3/11/2021,23
336,Ronald,Allen,Operations,89925.39,6/16/2021,59
337,Michael,Vazquez,Operations,42863.31,9/6/2020,52
338,Autumn,Sparks,IT,56595.67,8/24/2022,33
339,Cassandra,Baxter,Operations,66981.66,5/2/2021,25
340,Clifford,Wells,HR,74324.3,2/28/2023,43
341,Tammy,Erickson,Operations,68097.43,7/1/2024,36
342,Michelle,Ewing,HR,52299.65,10/15/2023,59
343,Katherine,Ortiz,IT,56223.11,12/29/2022,59
344,Carlos,Montgomery,Marketing,39675.15,5/19/2022,41
345,Alice,Waller,HR,62539.1,9/10/2022,27
346,Lori,Mcclure,Marketing,93482.76,8/1/2024,43
347,Patrick,Miller,Finance,69154.14,6/14/2020,40
348,Joshua,Kelley,HR,56431.43,4/11/2021,52
349,Bruce,Smith,Marketing,36226.94,12/10/2019,37
350,Jason,Boone,IT,98618.71,6/29/2024,40
351,Sarah,Miller,HR,71823.84,12/30/2023,29
352,Juan,Sawyer,Marketing,56350.59,3/31/2021,40
353,Sheri,Weber,IT,66018.44,10/26/2024,54
354,Cathy,Rivera,HR,60697.68,7/20/2022,22
355,Daniel,Gonzalez,Operations,92251.56,1/3/2020,24
356,Cynthia,Sexton,HR,33170.78,11/29/2020,33
357,John,Deleon,HR,64204.86,4/5/2023,35
358,Darlene,Moore,Marketing,82538.95,8/26/2023,39
359,Linda,Rivera,Operations,82788.39,6/12/2020,26
360,Roberto,Villarreal,IT,36628.35,1/24/2021,59
361,John,Mason,IT,71581.02,7/28/2021,31
362,Brittany,Suarez,Operations,83211.96,8/17/2023,22
363,Jocelyn,Brown,Finance,37932.82,3/15/2020,59
364,Sheri,Myers,IT,91853.56,11/25/2021,33
365,Nicole,Morales,Operations,76567.72,10/2/2023,41
366,Kimberly,Herring,Operations,76372.96,9/1/2023,26
367,Kayla,Meyer,Finance,50236.92,12/22/2022,28
368,Jennifer,Wilson,Operations,74424.26,11/1/2023,30
369,James,Mcbride,Marketing,88508.89,2/27/2024,42
370,Angela,Johnson,Marketing,90341.03,4/25/2023,27
371,Angel,Porter,HR,96593.95,2/27/2021,39
372,Sabrina,Hendricks,Finance,73909.43,10/7/2021,45
373,Robert,Cruz,Finance,48129.81,7/4/2021,36
374,Chad,Martin,Operations,35613.26,3/31/2023,29
375,Michael,Miller,Marketing,70228.87,5/15/2023,26
376,Kenneth,James,Finance,69447.77,1/15/2021,49
377,Elizabeth,Torres,IT,86194.62,8/24/2024,31
378,Lauren,Koch,Marketing,90433.67,11/27/2022,23
379,Brian,Thomas,IT,89838.52,10/27/2022,43
380,Gina,Guzman,HR,90868.84,1/14/2023,56
381,Melvin,Wallace,Operations,65710.06,8/6/2021,58
382,Steven,Hunt,Operations,61441.19,6/14/2021,55
383,Amanda,Robinson,HR,84871.21,12/9/2020,57
384,David,Nelson,Finance,70172.76,10/14/2020,33
385,Christopher,Miller,IT,44018.89,3/24/2023,34
386,Ashley,Peterson,IT,30102.76,10/18/2022,49
387,Billy,Gibson,IT,35288.85,4/16/2023,58
388,Megan,Dunn,Finance,82434.32,10/27/2021,54
389,Ryan,Sellers,Finance,82652.69,10/2/2020,40
390,Anna,Khan,HR,51371.36,5/8/2024,41
391,Leslie,Gonzalez,Marketing,83864.73,7/28/2024,52
392,Thomas,Harris,IT,38518.89,10/1/2024,53
393,Samantha,Potter,IT,49388.56,6/15/2021,40
394,Penny,Ingram,HR,96482,12/12/2020,43
395,Zachary,Snow,Operations,91679.45,5/26/2023,57
396,Anna,Huang,Marketing,46762.12,1/7/2020,35
397,Stephen,Smith,IT,52391.58,11/27/2020,43
398,Holly,Nelson,Marketing,89488.25,10/20/2021,46
399,Karen,Campbell,IT,91227.56,12/24/2022,35
400,Christina,Edwards,Marketing,97886.57,3/24/2023,22
401,Jeffrey,Robertson,Operations,34103.02,1/22/2024,27
402,Jill,Daniel,IT,71817.32,6/20/2020,43
403,Brianna,Morgan,Operations,32507.18,8/6/2023,59
404,Pamela,Johnson,Marketing,89159.6,11/11/2021,35
405,Melissa,Frazier,HR,34023.42,9/30/2023,46
406,Megan,Gomez,Operations,91382.24,12/21/2020,22
407,Ruben,Gregory,Finance,98529.36,8/15/2023,29
408,Melinda,Smith,IT,31775.92,8/24/2021,47
409,Ryan,Johnson,Operations,53167.7,6/24/2020,34
410,Yvonne,Nelson,IT,61106.99,9/4/2024,57
411,Joshua,Aguilar,Finance,90940.26,7/26/2021,52
412,James,Martinez,Operations,91281.87,5/19/2023,41
413,Dennis,Bryant,Operations,40270.25,3/22/2021,41
414,Steven,French,HR,41675.08,3/28/2021,28
415,Felicia,Smith,Operations,57224.92,1/14/2020,59
416,Patricia,Hamilton,Operations,67486.74,9/11/2021,24
417,Meghan,Buck,Finance,87892.03,11/15/2023,55
418,Julie,Bush,Operations,50243.39,4/6/2023,31
419,Heather,Miller,Marketing,54067.42,9/15/2020,40
420,Rhonda,Pierce,Finance,53518.38,6/5/2024,32
421,Amanda,Austin,IT,84262.43,10/6/2021,33
422,Michelle,Hill,Finance,79789.52,11/19/2022,27
423,Gerald,Wright,Marketing,46567.55,9/4/2020,57
424,Thomas,Thompson,Finance,88557.39,2/3/2022,29
425,Bryan,Maddox,Finance,53130.48,7/22/2021,27
426,John,Figueroa,HR,95976.17,10/14/2024,51
427,Lisa,Diaz,IT,87108.54,9/15/2023,22
428,Andrea,Warren,Finance,52099.23,7/16/2024,23
429,Justin,King,Marketing,47529.6,10/11/2024,29
430,Emma,Thomas,Operations,60215.98,9/22/2020,38
431,Mary,Alexander,Finance,43114.04,8/15/2022,55
432,Richard,Williams,Finance,32705.12,4/7/2021,43
433,David,Lynch,Marketing,64280.09,1/21/2022,28
434,Erica,Smith,Operations,87877.83,2/10/2022,42
435,Raymond,Estrada,Finance,52997.19,2/9/2020,36
436,Dustin,Nielsen,IT,60875.98,4/6/2021,32
437,Faith,Green,IT,99494.27,1/3/2021,36
438,Jonathan,Bailey,IT,63530.76,10/21/2024,32
439,Dustin,Mitchell,Operations,36881.34,10/25/2022,56
440,Donald,Smith,IT,92148.35,11/11/2024,40
441,Julie,Hernandez,IT,66634.67,8/30/2020,33
442,Donald,Becker,Finance,50391.45,2/26/2020,33
443,Lindsey,Nelson,Operations,74828.45,11/11/2021,42
444,Abigail,Oconnell,IT,46059.59,12/16/2019,34
445,Christian,Morris,Finance,62664.51,8/18/2020,48
446,Mitchell,Murphy,Finance,85482.29,1/16/2020,44
447,Daniel,Larsen,Finance,47067.39,2/2/2021,58
448,Nancy,Wagner,Operations,51024.97,6/12/2024,53
449,Marc,Johnson,IT,52500.65,6/27/2022,23
450,Julie,Lopez,IT,96601.8,12/8/2020,39
451,Keith,Alvarez,IT,68488.18,2/18/2022,56
452,Becky,Hunter,Marketing,56462.94,4/16/2024,41
453,Tanya,Pope,Finance,95030.98,3/6/2021,51
454,April,Tran,Marketing,91639.47,9/5/2023,33
455,Ryan,Welch,HR,73774.53,4/23/2024,54
456,Derek,Perez,HR,41852.2,7/9/2021,44
457,Lisa,Green,IT,67750.29,10/17/2020,41
458,Laurie,Richard,Finance,88912.33,10/19/2020,51
459,Bruce,Harris,IT,51769.13,3/9/2020,50
460,Joseph,Chavez,Finance,75081.25,1/7/2021,45
461,Donna,Murphy,Finance,36696.71,10/8/2024,34
462,Steven,Perry,HR,72323.29,4/14/2021,48
463,Timothy,Gardner,Finance,77497.58,12/13/2020,41
464,Shaun,Garcia,IT,41268.71,8/19/2022,42
465,Adam,Herrera,IT,77124.97,2/23/2024,41
466,Tonya,Hill,Operations,48064.66,12/21/2020,51
467,Jennifer,Shaw,Operations,84027.62,6/21/2020,58
468,Robert,Payne,IT,69811.18,5/20/2023,50
469,Amy,Ramirez,Operations,76922.5,6/27/2020,53
470,Jillian,Brown,Operations,62012.52,8/4/2023,47
471,Christopher,Baker,Finance,35086.94,2/15/2021,26
472,Rachel,Ray,HR,51650.95,2/15/2022,58
473,Krystal,Fisher,Finance,65847.29,9/29/2021,51
474,Sarah,Moses,IT,64688.27,12/18/2023,24
475,Juan,Diaz,Operations,68121.69,9/29/2022,37
476,Melissa,Copeland,IT,85179.69,2/13/2024,36
477,Megan,Garcia,Finance,87082.57,3/4/2020,53
478,Jessica,Sparks,Marketing,81181.01,10/15/2022,29
479,Kimberly,Williams,HR,99774.95,1/23/2024,57
